session_id,label,temporal_inconsistency_score
1ac4ca01-f2fd-43dd-9037-c3adfde8c6ad,bot_t1,0.0
1ad31543-f064-4695-85e8-8e8bfebfea49,bot_t1,0.0
1affb27f-b118-4741-87d6-fed5dbd7e8e0,bot_t1,0.0
1b15c466-e582-4dbc-8b02-b863f0846c43,bot_t1,0.0
1b671334-231c-416f-9c79-08edc3d107de,human,0.0
1c494b70-5be1-421a-b179-e2ef76ddbc64,human,0.0
1ccde273-ed20-4242-bd9e-f6fa606b8a1c,human,0.0
1cdeb995-93ac-40be-a1a3-8bb4fb504ced,bot_t3,0.0
1d16f74f-6012-4c9b-82c0-f8d6fde0dbeb,bot_t2,0.0
1d1e3bda-dd80-4ef6-adb1-c8a5b541b84d,bot_t1,0.0
1d47b6a9-d2f2-4787-9c05-9f98c17b19e5,human,0.0
1d75ced3-9379-4add-b7d9-07552c914feb,bot_t3,0.0
1db16f4b-d495-4c41-b407-70c8339f7b42,bot_t1,0.0
1de20faa-3ae8-4b5a-a1fa-fee8ad7b3659,human,0.0
1dee1fcd-5bf1-4fad-a7d9-360930f73703,human,0.0
1e0d5eb0-2421-4406-b94d-7601e8c907f3,bot_t3,0.0
1e58d884-2df7-4004-ad30-19cb68a4215a,bot_t2,0.0
1e810b57-512d-4d45-98b8-28e5bd0324a6,bot_t2,0.0
1e992a77-06a8-4c2a-8ef4-c7fbdab689db,human,0.0
1ebb96be-d2f7-471c-8cdf-167c1758dad0,human,0.0
1ed5b824-de6a-4a59-8d15-55d0a4201eb8,bot_t3,0.0
1ed7b2cd-7da9-49c9-83b1-30444b782116,human,0.0
1ee8b004-b0bc-42d0-a6d4-04da5ef39274,human,0.0
1f0a61e0-6fc9-4f18-a7f4-c9143491eca6,human,0.0
1f2def8a-a9c0-493f-8071-bc0987ae48d3,bot_t3,0.0
1f420930-98a3-47e0-90ba-459ad5efab03,human,0.0
1f4bf9f5-c17e-4cea-a771-032330ae86a0,bot_t3,0.0
1f53f926-4675-474e-9eee-fd1fb8c9774d,bot_t2,0.0
1f610201-73cb-491a-aa81-d6dd9edaea2c,bot_t2,0.0
1f9e6e21-ab64-4f4f-a2cc-6f6550c921ad,bot_t2,0.0
1fc431eb-fefd-40e2-b9c4-fd5aafc4ff12,human,0.0
1ffcf90d-d9c6-4b9d-ba9c-41a6e4d82951,bot_t1,0.0
2041f49d-9208-4dd8-acdf-4e9fb12196dc,bot_t1,0.0
207e17f9-77af-4b37-bdf4-432055ecb8e2,bot_t2,0.0
207ecbbf-bd09-41d3-8800-8c062f460c4b,human,0.0
20d3784a-adde-4b2d-87cb-1bb4c4307f3c,human,0.0
20e6ce9b-2839-4fbe-bf3a-60ef6c1d39cb,human,0.0
